PosX,PosY,PosZ,Enemy,PlayerID,DateTime,
29.97746,0.2673538,0.4759368,2,34502,21/12/2020 0:02:02,
18.8748,0.4250585,23.60281,2,34502,21/12/2020 0:02:13,
27.13865,0.3348533,12.15239,2,34502,21/12/2020 0:02:35,
27.10357,0.07709241,-8.030788,2,34502,21/12/2020 0:02:46,
46.93918,0.3359735,-23.96358,1,34502,21/12/2020 0:03:13,
57.25681,4,-29.99977,2,34502,21/12/2020 0:03:35,
-25.34556,0.9826858,25.75236,2,80445,21/12/2020 0:20:23,
33.95848,1.023982,-26.10974,1,80445,21/12/2020 0:21:50,
-26.30075,0.9826858,26.71453,1,62638,21/12/2020 0:28:40,
-25.4855,0.9826858,30.31255,2,62638,21/12/2020 0:28:46,
31.72078,0.3098779,0.7420814,2,62638,21/12/2020 0:29:04,
44.48312,0.6027043,-15.16833,1,62638,21/12/2020 0:30:45,
